"Country","Sex","Cause","Year","Value"
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1966,7.6
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1965,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1964,7.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1963,8.2
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1962,8.2
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1961,8.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1960,8.2
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2022,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2021,6.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2020,5.7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2019,6.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2018,6.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2017,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2016,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2015,6.7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2014,6.5
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2013,6.6
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2012,6.6
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2011,6.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2010,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2009,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2008,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2007,7.2
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2006,7.7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2004,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2003,7.5
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2002,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2001,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2000,6.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1999,6.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1998,6.6
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1997,5.9
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1996,7.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1995,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1994,8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1993,6.7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1992,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1991,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1990,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1989,7.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1988,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1987,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1986,6.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1985,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1984,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1983,6.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1982,6.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2022,5.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2021,5.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2020,4.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2019,5.2
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2018,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2017,5.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2016,5.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2015,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2014,4.6
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2013,4.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2012,4.4
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2011,4.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2010,4.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2009,4
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2008,5.5
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2007,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2006,5.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2004,5.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2003,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2002,5.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2001,4.8
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2000,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1999,5.4
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1998,4.2
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1997,3.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1996,4.8
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1995,4.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1994,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1993,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1992,5
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1991,4.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1990,5
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1989,5.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1988,6
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1987,5.2
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1986,5.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1985,5.8
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1984,5.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1983,5.6
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1982,5.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1981,5.4
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1980,4.6
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1979,4.5
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1978,6.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1977,5.6
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1976,6.4
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1975,5
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1974,7.8
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1973,6.8
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1972,6.5
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1971,6.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1970,6.4
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1969,6
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1968,7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1967,6.2
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1966,5.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1965,6.5
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1964,6.4
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1963,7.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1962,7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1961,7.6
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1960,7.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2021,3.8
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2020,3.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2019,3.7
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2018,4
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2017,3.5
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2016,3.4
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2015,3.1
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2014,2.7
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2013,2.9
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2012,3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2011,3.2
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2010,3.1
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2009,3.4
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2008,3.6
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2007,3.8
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2006,3.8
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2005,4.4
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2004,3.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2003,3.2
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2002,3.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2001,1.6
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",2000,2.1
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1999,1.9
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1998,1.9
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1997,2.1
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1996,2.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1995,2.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1994,2.4
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1993,3.1
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1992,3.7
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1991,2.9
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1990,3.5
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1989,2.9
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1988,3.4
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1987,3.1
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1986,3.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1985,3.5
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1984,4
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1983,4.8
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1982,4.4
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1981,4
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1980,3.9
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1979,4.5
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1978,4.6
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1977,4.5
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1976,4.7
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1975,3.9
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1974,4.8
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1973,6
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1972,5.4
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1971,6.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1970,5.8
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1969,7.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1968,8.6
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1967,8.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1966,7.1
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1965,8.8
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1964,5.8
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1963,5.5
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1962,4.3
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1961,3.7
"Austria","Female","Diseases of the musculoskeletal system and connective tissue",1960,4.7
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2021,2.7
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2020,2.8
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2019,2.8
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2018,2.9
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2017,2.7
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2016,2.6
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2015,1.9
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2014,2.1
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2013,2.3
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2012,2
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2011,2.2
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2010,2.4
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2009,1.8
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2008,2.3
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2007,2.6
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2006,2.8
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2005,2.7
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2004,1.7
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2003,1.7
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2002,2.3
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2001,1.2
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",2000,1.1
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1999,1
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1998,1.3
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1997,1.3
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1996,1
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1995,1.8
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1994,1.3
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1993,1.1
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1992,2.2
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1991,1.4
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1990,1.8
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1989,1.5
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1988,2.2
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1987,1.8
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1986,1.5
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1985,2.1
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1984,1.7
"Austria","Male","Diseases of the musculoskeletal system and connective tissue",1983,2.8
