"Country","Sex","Cause","Year","Value"
"Australia","Male","External causes of mortality",1961,120
"Australia","Male","External causes of mortality",1960,119.9
"Australia","Female","External causes of mortality",2001,25.9
"Australia","Female","External causes of mortality",2000,28.2
"Australia","Female","External causes of mortality",1999,27.8
"Australia","Female","External causes of mortality",1998,28.2
"Australia","Female","External causes of mortality",1997,26.7
"Australia","Female","External causes of mortality",1996,25.2
"Australia","Female","External causes of mortality",1995,26
"Australia","Female","External causes of mortality",1994,26.2
"Australia","Female","External causes of mortality",1993,24.5
"Australia","Female","External causes of mortality",1992,28.3
"Australia","Female","External causes of mortality",1991,29.5
"Australia","Female","External causes of mortality",1990,30.5
"Australia","Female","External causes of mortality",1989,34.3
"Australia","Female","External causes of mortality",1988,33.8
"Australia","Female","External causes of mortality",1987,33.3
"Australia","Female","External causes of mortality",1986,34.1
"Australia","Female","External causes of mortality",1985,35.7
"Australia","Female","External causes of mortality",1984,35.8
"Australia","Female","External causes of mortality",1983,33.5
"Australia","Female","External causes of mortality",1982,38.6
"Australia","Female","External causes of mortality",1981,37.9
"Australia","Female","External causes of mortality",1980,42.3
"Australia","Female","External causes of mortality",1979,45.3
"Australia","Female","External causes of mortality",1978,48.7
"Australia","Female","External causes of mortality",1977,50.3
"Australia","Female","External causes of mortality",1976,50.4
"Australia","Female","External causes of mortality",1975,51
"Australia","Female","External causes of mortality",1974,56.3
"Australia","Female","External causes of mortality",1973,58.1
"Australia","Female","External causes of mortality",1972,58
"Australia","Female","External causes of mortality",1971,58.8
"Australia","Female","External causes of mortality",1970,62.3
"Australia","Female","External causes of mortality",1969,58.9
"Australia","Female","External causes of mortality",1968,64.2
"Australia","Female","External causes of mortality",1967,66.4
"Australia","Female","External causes of mortality",1966,64.6
"Australia","Female","External causes of mortality",1965,65.2
"Australia","Female","External causes of mortality",1964,64.9
"Australia","Female","External causes of mortality",1963,57.2
"Australia","Female","External causes of mortality",1962,63.7
"Australia","Female","External causes of mortality",1961,57.7
"Australia","Female","External causes of mortality",1960,61
"Australia","Female","External causes of mortality",2022,32
"Australia","Female","External causes of mortality",2021,30.5
"Australia","Female","External causes of mortality",2020,29
"Australia","Female","External causes of mortality",2019,31
"Australia","Female","External causes of mortality",2018,29.9
"Australia","Female","External causes of mortality",2017,30.4
"Australia","Female","External causes of mortality",2016,30
"Australia","Female","External causes of mortality",2015,30.9
"Australia","Female","External causes of mortality",2014,30.1
"Australia","Female","External causes of mortality",2013,27.4
"Australia","Female","External causes of mortality",2012,28.7
"Australia","Female","External causes of mortality",2011,28.5
"Australia","Female","External causes of mortality",2010,26.7
"Australia","Female","External causes of mortality",2009,27.6
"Australia","Female","External causes of mortality",2008,27.7
"Australia","Female","External causes of mortality",2007,26.8
"Australia","Female","External causes of mortality",2006,26.6
"Australia","Female","External causes of mortality",2004,27.2
"Australia","Female","External causes of mortality",2003,25.6
"Australia","Female","External causes of mortality",2002,26.5
"Austria","Male","External causes of mortality",2005,83.1
"Austria","Male","External causes of mortality",2004,80.6
"Austria","Male","External causes of mortality",2003,80.1
"Austria","Male","External causes of mortality",2002,84.5
"Austria","Male","External causes of mortality",2001,82.6
"Austria","Male","External causes of mortality",2000,86.2
"Austria","Male","External causes of mortality",1999,85.4
"Austria","Male","External causes of mortality",1998,86
"Austria","Male","External causes of mortality",1997,89.6
"Austria","Male","External causes of mortality",1996,94.6
"Austria","Male","External causes of mortality",1995,98.2
"Austria","Male","External causes of mortality",1994,106.5
"Austria","Male","External causes of mortality",1993,101.6
"Austria","Male","External causes of mortality",1992,103.2
"Austria","Male","External causes of mortality",1991,110.8
"Austria","Male","External causes of mortality",1990,113
"Austria","Male","External causes of mortality",1989,117.6
"Austria","Male","External causes of mortality",1988,120.2
"Austria","Male","External causes of mortality",1987,121.7
"Austria","Male","External causes of mortality",1986,126.1
"Austria","Male","External causes of mortality",1985,129.9
"Austria","Male","External causes of mortality",1984,140.8
"Austria","Male","External causes of mortality",1983,146.4
"Austria","Male","External causes of mortality",1982,148.1
"Austria","Male","External causes of mortality",1981,143.9
"Austria","Male","External causes of mortality",1980,144.3
"Austria","Male","External causes of mortality",1979,154.8
"Austria","Male","External causes of mortality",1978,156.4
"Austria","Male","External causes of mortality",1977,154.6
"Austria","Male","External causes of mortality",1976,156.8
"Austria","Male","External causes of mortality",1975,165.6
"Austria","Male","External causes of mortality",1974,171.2
"Austria","Male","External causes of mortality",1973,172.7
"Austria","Male","External causes of mortality",1972,185
"Austria","Male","External causes of mortality",1971,184.8
"Austria","Male","External causes of mortality",1970,180.9
"Austria","Male","External causes of mortality",1969,165.9
"Austria","Male","External causes of mortality",1968,170
"Austria","Male","External causes of mortality",1967,169.5
"Austria","Male","External causes of mortality",1966,160
"Austria","Male","External causes of mortality",1965,157.9
"Austria","Male","External causes of mortality",1964,158.6
"Austria","Male","External causes of mortality",1963,154.3
"Austria","Male","External causes of mortality",1962,151.6
"Austria","Male","External causes of mortality",1961,157
"Austria","Male","External causes of mortality",1960,166.2
"Austria","Male","External causes of mortality",2021,68.4
"Austria","Male","External causes of mortality",2020,67.2
"Austria","Male","External causes of mortality",2019,65.9
"Austria","Male","External causes of mortality",2018,65.3
"Austria","Male","External causes of mortality",2017,65
"Austria","Male","External causes of mortality",2016,61.8
"Austria","Male","External causes of mortality",2015,67.9
"Austria","Male","External causes of mortality",2014,65.3
"Austria","Male","External causes of mortality",2013,68.4
"Austria","Male","External causes of mortality",2012,71.8
"Austria","Male","External causes of mortality",2011,69.4
"Austria","Male","External causes of mortality",2010,71.8
"Austria","Male","External causes of mortality",2009,74
"Austria","Male","External causes of mortality",2008,75.4
"Austria","Male","External causes of mortality",2007,74.9
"Austria","Male","External causes of mortality",2006,77.3
"Austria","Total","External causes of mortality",2017,44.5
"Austria","Total","External causes of mortality",2016,43.4
"Austria","Total","External causes of mortality",2015,47.3
"Austria","Total","External causes of mortality",2014,45.2
"Austria","Total","External causes of mortality",2013,46.2
"Austria","Total","External causes of mortality",2012,48.5
"Austria","Total","External causes of mortality",2011,47
"Austria","Total","External causes of mortality",2010,47.5
"Austria","Total","External causes of mortality",2009,49.3
"Austria","Total","External causes of mortality",2008,49.2
"Austria","Total","External causes of mortality",2007,50
"Austria","Total","External causes of mortality",2006,50.7
"Austria","Total","External causes of mortality",2005,54.7
"Austria","Total","External causes of mortality",2004,52
"Austria","Total","External causes of mortality",2003,54.1
"Austria","Total","External causes of mortality",2002,54.7
"Austria","Total","External causes of mortality",2001,53.8
"Austria","Total","External causes of mortality",2000,56.3
"Austria","Total","External causes of mortality",1999,56.4
"Austria","Total","External causes of mortality",1998,54.9
"Austria","Total","External causes of mortality",1997,57.9
"Austria","Total","External causes of mortality",1996,62.4
"Austria","Total","External causes of mortality",1995,64
"Austria","Total","External causes of mortality",1994,68.6
"Austria","Total","External causes of mortality",1993,67.3
"Austria","Total","External causes of mortality",1992,69.3
"Austria","Total","External causes of mortality",1991,73.6
"Austria","Total","External causes of mortality",1990,77
"Austria","Total","External causes of mortality",1989,82.3
"Austria","Total","External causes of mortality",1988,85.2
"Austria","Total","External causes of mortality",1987,87.5
"Austria","Total","External causes of mortality",1986,89.2
"Austria","Total","External causes of mortality",1985,93.7
"Austria","Total","External causes of mortality",1984,97.7
"Austria","Total","External causes of mortality",1983,104.3
"Austria","Total","External causes of mortality",1982,102.6
"Austria","Total","External causes of mortality",1981,101.1
"Austria","Total","External causes of mortality",1980,103.8
"Austria","Total","External causes of mortality",1979,109.8
"Austria","Total","External causes of mortality",1978,112.1
"Austria","Total","External causes of mortality",1977,111.7
"Austria","Total","External causes of mortality",1976,113
"Austria","Total","External causes of mortality",1975,118.8
"Austria","Total","External causes of mortality",1974,122.9
"Austria","Total","External causes of mortality",1973,125
"Austria","Total","External causes of mortality",1972,130.9
"Austria","Total","External causes of mortality",1971,132.5
"Austria","Total","External causes of mortality",1970,127.9
"Austria","Total","External causes of mortality",1969,120.3
"Austria","Total","External causes of mortality",1968,119.5
"Austria","Total","External causes of mortality",1967,117.9
"Austria","Total","External causes of mortality",1966,116.4
"Austria","Total","External causes of mortality",1965,112.9
"Austria","Total","External causes of mortality",1964,113.3
"Austria","Total","External causes of mortality",1963,110.1
"Austria","Total","External causes of mortality",1962,108.8
"Austria","Total","External causes of mortality",1961,111.9
"Austria","Total","External causes of mortality",1960,117.3
"Austria","Total","External causes of mortality",2021,47.1
"Austria","Total","External causes of mortality",2020,47.5
"Austria","Total","External causes of mortality",2019,45.6
"Austria","Total","External causes of mortality",2018,45.1
"Austria","Female","External causes of mortality",1993,39.1
"Austria","Female","External causes of mortality",1992,42.2
"Austria","Female","External causes of mortality",1991,42.9
"Austria","Female","External causes of mortality",1990,46.9
"Austria","Female","External causes of mortality",1989,51.9
"Austria","Female","External causes of mortality",1988,55.2
"Austria","Female","External causes of mortality",1987,56.7
"Austria","Female","External causes of mortality",1986,56.8
"Austria","Female","External causes of mortality",1985,60.8
"Austria","Female","External causes of mortality",1984,60.5
"Austria","Female","External causes of mortality",1983,67.7
"Austria","Female","External causes of mortality",1982,63.6
"Austria","Female","External causes of mortality",1981,63.8
"Austria","Female","External causes of mortality",1980,67.8
"Austria","Female","External causes of mortality",1979,71
"Austria","Female","External causes of mortality",1978,73.9
"Austria","Female","External causes of mortality",1977,74
"Austria","Female","External causes of mortality",1976,74.9
"Austria","Female","External causes of mortality",1975,78.3
"Austria","Female","External causes of mortality",1974,81.3
"Austria","Female","External causes of mortality",1973,84
"Austria","Female","External causes of mortality",1972,85.4
"Austria","Female","External causes of mortality",1971,87.8
"Austria","Female","External causes of mortality",1970,83.6
"Austria","Female","External causes of mortality",1969,81.3
"Austria","Female","External causes of mortality",1968,77.2
"Austria","Female","External causes of mortality",1967,75.1
"Austria","Female","External causes of mortality",1966,79.6
"Austria","Female","External causes of mortality",1965,75.6
"Austria","Female","External causes of mortality",1964,75.4
"Austria","Female","External causes of mortality",1963,73.4
"Austria","Female","External causes of mortality",1962,73.2
"Austria","Female","External causes of mortality",1961,74.6
"Austria","Female","External causes of mortality",1960,76.8
"Austria","Female","External causes of mortality",2021,28.6
"Austria","Female","External causes of mortality",2020,30.7
"Austria","Female","External causes of mortality",2019,28.3
"Austria","Female","External causes of mortality",2018,27.8
"Austria","Female","External causes of mortality",2017,26.9
"Austria","Female","External causes of mortality",2016,27.9
"Austria","Female","External causes of mortality",2015,29.5
"Austria","Female","External causes of mortality",2014,28.1
"Austria","Female","External causes of mortality",2013,28
"Austria","Female","External causes of mortality",2012,29.2
"Austria","Female","External causes of mortality",2011,28.5
"Austria","Female","External causes of mortality",2010,27.7
"Austria","Female","External causes of mortality",2009,29.2
"Austria","Female","External causes of mortality",2008,28.6
"Austria","Female","External causes of mortality",2007,29.1
"Austria","Female","External causes of mortality",2006,29.3
"Austria","Female","External causes of mortality",2005,32
"Austria","Female","External causes of mortality",2004,29.2
"Austria","Female","External causes of mortality",2003,33
"Austria","Female","External causes of mortality",2002,30.4
"Austria","Female","External causes of mortality",2001,30.4
"Austria","Female","External causes of mortality",2000,31.9
"Austria","Female","External causes of mortality",1999,32.1
"Austria","Female","External causes of mortality",1998,29.9
"Austria","Female","External causes of mortality",1997,32
"Austria","Female","External causes of mortality",1996,35.6
"Austria","Female","External causes of mortality",1995,35.1
"Austria","Female","External causes of mortality",1994,38.2
"Belgium","Female","External causes of mortality",2020,37
"Belgium","Female","External causes of mortality",2019,37.6
"Belgium","Female","External causes of mortality",2018,40.9
"Belgium","Female","External causes of mortality",2017,37.9
"Belgium","Female","External causes of mortality",2016,37
"Belgium","Female","External causes of mortality",2015,40.1
"Belgium","Female","External causes of mortality",2014,37.4
"Belgium","Female","External causes of mortality",2013,39.8
"Belgium","Female","External causes of mortality",2012,40.3
"Belgium","Female","External causes of mortality",2011,40.4
"Belgium","Female","External causes of mortality",2010,40.2
"Belgium","Female","External causes of mortality",2009,40.9
"Belgium","Female","External causes of mortality",2008,40
"Belgium","Female","External causes of mortality",2007,39.3
"Belgium","Female","External causes of mortality",2006,39.5
"Belgium","Female","External causes of mortality",2005,41.5
"Belgium","Female","External causes of mortality",2004,39
"Belgium","Female","External causes of mortality",2003,42.4
"Belgium","Female","External causes of mortality",2002,43.6
"Belgium","Female","External causes of mortality",2001,44.7
"Belgium","Female","External causes of mortality",2000,44.6
"Belgium","Female","External causes of mortality",1999,42.5
"Belgium","Female","External causes of mortality",1998,46
"Belgium","Female","External causes of mortality",1997,40.6
"Belgium","Female","External causes of mortality",1996,41.2
"Belgium","Female","External causes of mortality",1995,41.7
"Belgium","Female","External causes of mortality",1994,46.2
"Belgium","Female","External causes of mortality",1993,45.9
"Belgium","Female","External causes of mortality",1992,44.6
"Belgium","Female","External causes of mortality",1991,44.9
"Belgium","Female","External causes of mortality",1990,46.1
"Belgium","Female","External causes of mortality",1989,46.2
"Belgium","Female","External causes of mortality",1988,49.2
"Belgium","Female","External causes of mortality",1987,51.5
"Belgium","Female","External causes of mortality",1986,53.3
"Belgium","Female","External causes of mortality",1985,53.4
"Belgium","Female","External causes of mortality",1984,61.2
"Belgium","Female","External causes of mortality",1983,68.8
"Belgium","Female","External causes of mortality",1982,68.8
"Belgium","Female","External causes of mortality",1981,72.1
"Belgium","Female","External causes of mortality",1980,75.6
"Belgium","Female","External causes of mortality",1979,72.9
"Belgium","Female","External causes of mortality",1978,74.8
"Belgium","Female","External causes of mortality",1977,73.9
"Belgium","Female","External causes of mortality",1976,75.7
"Belgium","Female","External causes of mortality",1975,76.4
"Belgium","Female","External causes of mortality",1974,76.6
"Belgium","Female","External causes of mortality",1973,77.5
"Belgium","Female","External causes of mortality",1972,81.9
"Belgium","Female","External causes of mortality",1971,79.4
"Belgium","Female","External causes of mortality",1970,79.3
"Belgium","Female","External causes of mortality",1969,81.4
"Belgium","Female","External causes of mortality",1968,77.4
"Belgium","Female","External causes of mortality",1967,68.7
