"Country","Sex","Cause","Year","Value"
"Iceland","Total","Codes for special purposes: COVID-19",2020,9.6
"Ireland","Female","Codes for special purposes: COVID-19",2020,40.1
"Ireland","Total","Codes for special purposes: COVID-19",2020,47.5
"Ireland","Male","Codes for special purposes: COVID-19",2020,56.5
"Israel","Total","Codes for special purposes: COVID-19",2021,72.6
"Israel","Total","Codes for special purposes: COVID-19",2020,48.5
"Israel","Male","Codes for special purposes: COVID-19",2021,88.7
"Israel","Male","Codes for special purposes: COVID-19",2020,65.3
"Israel","Female","Codes for special purposes: COVID-19",2021,59.1
"Israel","Female","Codes for special purposes: COVID-19",2020,35.3
"Italy","Male","Codes for special purposes: COVID-19",2020,118.3
"Italy","Female","Codes for special purposes: COVID-19",2020,58.3
"Italy","Total","Codes for special purposes: COVID-19",2020,84.3
"Japan","Female","Codes for special purposes: COVID-19",2021,4.6
"Japan","Female","Codes for special purposes: COVID-19",2020,0.9
"Japan","Total","Codes for special purposes: COVID-19",2021,7.3
"Japan","Total","Codes for special purposes: COVID-19",2020,1.5
"Japan","Male","Codes for special purposes: COVID-19",2021,10.7
"Japan","Male","Codes for special purposes: COVID-19",2020,2.3
"Korea","Male","Codes for special purposes: COVID-19",2021,13.2
"Korea","Male","Codes for special purposes: COVID-19",2020,2.7
"Korea","Total","Codes for special purposes: COVID-19",2021,10
"Korea","Total","Codes for special purposes: COVID-19",2020,2
"Korea","Female","Codes for special purposes: COVID-19",2021,7.8
"Korea","Female","Codes for special purposes: COVID-19",2020,1.6
"Latvia","Total","Codes for special purposes: COVID-19",2021,182.9
"Latvia","Total","Codes for special purposes: COVID-19",2020,29.3
"Latvia","Female","Codes for special purposes: COVID-19",2021,144.2
"Latvia","Female","Codes for special purposes: COVID-19",2020,19.7
"Latvia","Male","Codes for special purposes: COVID-19",2021,259
"Latvia","Male","Codes for special purposes: COVID-19",2020,46.9
"Lithuania","Total","Codes for special purposes: COVID-19",2022,73.7
"Lithuania","Total","Codes for special purposes: COVID-19",2021,201.8
"Lithuania","Total","Codes for special purposes: COVID-19",2020,64.5
"Lithuania","Male","Codes for special purposes: COVID-19",2022,112.6
"Lithuania","Male","Codes for special purposes: COVID-19",2021,279.7
"Lithuania","Male","Codes for special purposes: COVID-19",2020,101.9
"Lithuania","Female","Codes for special purposes: COVID-19",2022,54.7
"Lithuania","Female","Codes for special purposes: COVID-19",2021,160.3
"Lithuania","Female","Codes for special purposes: COVID-19",2020,44.5
"Luxembourg","Male","Codes for special purposes: COVID-19",2022,52.4
"Luxembourg","Male","Codes for special purposes: COVID-19",2021,90.6
"Luxembourg","Male","Codes for special purposes: COVID-19",2020,110.9
"Luxembourg","Female","Codes for special purposes: COVID-19",2022,24.5
"Luxembourg","Female","Codes for special purposes: COVID-19",2021,54.6
"Luxembourg","Female","Codes for special purposes: COVID-19",2020,59.3
"Luxembourg","Total","Codes for special purposes: COVID-19",2022,35.9
"Luxembourg","Total","Codes for special purposes: COVID-19",2021,70.6
"Luxembourg","Total","Codes for special purposes: COVID-19",2020,80.5
"Mexico","Total","Codes for special purposes: COVID-19",2021,314.2
"Mexico","Total","Codes for special purposes: COVID-19",2020,271.2
"Mexico","Male","Codes for special purposes: COVID-19",2021,414.2
"Mexico","Male","Codes for special purposes: COVID-19",2020,375.7
"Mexico","Female","Codes for special purposes: COVID-19",2021,230.8
"Mexico","Female","Codes for special purposes: COVID-19",2020,183.1
"Netherlands","Male","Codes for special purposes: COVID-19",2022,52.7
"Netherlands","Male","Codes for special purposes: COVID-19",2021,126.2
"Netherlands","Male","Codes for special purposes: COVID-19",2020,125
"Netherlands","Total","Codes for special purposes: COVID-19",2022,40
"Netherlands","Total","Codes for special purposes: COVID-19",2021,96.4
"Netherlands","Total","Codes for special purposes: COVID-19",2020,97.5
"Netherlands","Female","Codes for special purposes: COVID-19",2022,31
"Netherlands","Female","Codes for special purposes: COVID-19",2021,74.4
"Netherlands","Female","Codes for special purposes: COVID-19",2020,77
"Poland","Total","Codes for special purposes: COVID-19",2021,226.2
"Poland","Total","Codes for special purposes: COVID-19",2020,101.7
"Poland","Female","Codes for special purposes: COVID-19",2021,169.4
"Poland","Female","Codes for special purposes: COVID-19",2020,68.7
"Poland","Male","Codes for special purposes: COVID-19",2021,315.3
"Poland","Male","Codes for special purposes: COVID-19",2020,154.7
"Slovak Republic","Female","Codes for special purposes: COVID-19",2021,212.3
